"method","model","nsim","ntrt","pi0","nep_h0","nep_ha","slope","corr","nfail","nerror","nrej","nreji","nrejcor","npow","npowi","npowcor"
"bt","bglm",167,100,0.1,2,8,0.075,0.9,0,0,4,4,163,466,87,36
"bt","bglm",167,25,0.1,8,2,0.1,0.9,0,0,17,7,160,50,33,17
"bt","bglm",167,50,0.1,8,2,0.1,0.9,0,0,17,6,161,102,60,42
"bt","bglm",167,100,0.1,8,2,0.1,0.9,0,0,7,1,166,197,107,90
"bt","bglm",167,25,0.1,2,8,0.1,0.9,0,0,5,3,164,314,64,20
"bt","bglm",167,50,0.1,2,8,0.1,0.9,0,0,2,2,165,448,78,31
"bt","bglm",167,100,0.1,2,8,0.1,0.9,0,0,4,4,163,851,128,77
"bt","bglm",167,25,0.1,8,2,0.125,0.9,0,0,4,2,165,104,60,44
"bt","bglm",167,50,0.1,8,2,0.125,0.9,0,0,4,2,165,194,111,83
"bt","bglm",167,100,0.1,8,2,0.125,0.9,0,0,30,7,160,287,148,139
"bt","bglm",167,25,0.1,2,8,0.125,0.9,0,0,0,0,167,358,68,23
"bt","bglm",167,50,0.1,2,8,0.125,0.9,0,0,6,4,163,707,114,54
"bt","bglm",167,100,0.1,2,8,0.125,0.9,0,0,6,4,163,1153,160,117
"bt","bglm",167,25,0.1,8,2,0.15,0.9,0,0,13,6,161,165,92,73
"bt","bglm",167,50,0.1,8,2,0.15,0.9,0,0,1,1,166,265,142,123
"bt","bglm",167,100,0.1,8,2,0.15,0.9,0,0,22,6,161,328,166,162
"bt","bglm",167,25,0.1,2,8,0.15,0.9,0,0,2,2,165,664,108,48
"bt","bglm",167,50,0.1,2,8,0.15,0.9,0,0,4,2,165,1063,152,103
"bt","bglm",167,100,0.1,2,8,0.15,0.9,0,0,1,1,166,1316,167,159
