"","method","model","nsim","pis","nresp","ntrt","corr","nfail","nerror","nreji","nrej"
"341","bt","bglm",209,0.375,10,25,0,0,0,10,10
"342","bt","bglm",209,0.5,10,25,0,0,0,15,15
"343","bt","bglm",209,0.01,3,50,0,0,0,11,11
"344","bt","bglm",209,0.0625,3,50,0,0,0,14,14
"345","bt","bglm",209,0.125,3,50,0,0,0,13,13
"346","bt","bglm",209,0.25,3,50,0,0,0,11,11
"347","bt","bglm",209,0.375,3,50,0,0,0,9,9
"348","bt","bglm",209,0.5,3,50,0,0,0,14,14
"349","bt","bglm",209,0.01,5,50,0,0,0,12,12
"350","bt","bglm",209,0.0625,5,50,0,0,0,15,15
"351","bt","bglm",209,0.125,5,50,0,0,0,10,10
"352","bt","bglm",209,0.25,5,50,0,0,0,13,13
"353","bt","bglm",209,0.375,5,50,0,0,0,11,11
"354","bt","bglm",209,0.5,5,50,0,0,0,10,11
"355","bt","bglm",209,0.01,10,50,0,0,0,9,9
"356","bt","bglm",209,0.0625,10,50,0,0,0,9,9
"357","bt","bglm",209,0.125,10,50,0,0,0,12,12
"358","bt","bglm",209,0.25,10,50,0,0,0,8,8
"359","bt","bglm",209,0.375,10,50,0,0,0,12,13
"360","bt","bglm",209,0.5,10,50,0,0,0,11,11
"361","bt","bglm",209,0.01,3,100,0,0,0,9,10
"362","bt","bglm",209,0.0625,3,100,0,0,0,12,12
"363","bt","bglm",209,0.125,3,100,0,0,0,8,8
"364","bt","bglm",209,0.25,3,100,0,0,0,8,8
"365","bt","bglm",209,0.375,3,100,0,0,0,8,8
"366","bt","bglm",209,0.5,3,100,0,0,0,9,9
"367","bt","bglm",209,0.01,5,100,0,0,0,9,9
"368","bt","bglm",209,0.0625,5,100,0,0,0,6,6
"369","bt","bglm",209,0.125,5,100,0,0,0,8,9
"370","bt","bglm",209,0.25,5,100,0,0,0,9,9
"371","bt","bglm",209,0.375,5,100,0,0,0,12,12
"372","bt","bglm",209,0.5,5,100,0,0,0,11,12
"373","bt","bglm",209,0.01,10,100,0,0,0,5,5
"374","bt","bglm",209,0.0625,10,100,0,0,0,6,6
"375","bt","bglm",209,0.125,10,100,0,0,0,9,9
"376","bt","bglm",209,0.25,10,100,0,0,0,15,15
"377","bt","bglm",209,0.375,10,100,0,0,0,8,8
"378","bt","bglm",209,0.5,10,100,0,0,0,8,8
"379","bt","bglm",209,0.01,3,25,0.5,0,0,8,12
"380","bt","bglm",209,0.0625,3,25,0.5,0,0,14,14
"381","bt","bglm",209,0.125,3,25,0.5,0,0,14,17
"382","bt","bglm",209,0.25,3,25,0.5,0,0,12,12
"383","bt","bglm",209,0.375,3,25,0.5,0,0,17,19
"384","bt","bglm",209,0.5,3,25,0.5,0,0,11,12
"385","bt","bglm",209,0.01,5,25,0.5,0,0,5,8
"386","bt","bglm",209,0.0625,5,25,0.5,0,0,8,14
"387","bt","bglm",209,0.125,5,25,0.5,0,0,10,13
"388","bt","bglm",209,0.25,5,25,0.5,0,0,9,9
"389","bt","bglm",209,0.375,5,25,0.5,0,0,7,9
"390","bt","bglm",209,0.5,5,25,0.5,0,0,7,7
"391","bt","bglm",209,0.01,10,25,0.5,0,0,7,22
"392","bt","bglm",209,0.0625,10,25,0.5,0,0,13,25
"393","bt","bglm",209,0.125,10,25,0.5,0,0,11,12
"394","bt","bglm",209,0.25,10,25,0.5,0,0,17,23
"395","bt","bglm",209,0.375,10,25,0.5,0,0,16,20
"396","bt","bglm",209,0.5,10,25,0.5,0,0,6,17
"397","bt","bglm",209,0.01,3,50,0.5,0,0,16,19
"398","bt","bglm",209,0.0625,3,50,0.5,0,0,17,22
"399","bt","bglm",209,0.125,3,50,0.5,0,0,10,11
"400","bt","bglm",209,0.25,3,50,0.5,0,0,10,12
"401","bt","bglm",209,0.375,3,50,0.5,0,0,12,14
"402","bt","bglm",209,0.5,3,50,0.5,0,0,11,11
"403","bt","bglm",209,0.01,5,50,0.5,0,0,4,6
"404","bt","bglm",209,0.0625,5,50,0.5,0,0,8,9
"405","bt","bglm",209,0.125,5,50,0.5,0,0,7,8
"406","bt","bglm",209,0.25,5,50,0.5,0,0,11,13
"407","bt","bglm",209,0.375,5,50,0.5,0,0,10,12
"408","bt","bglm",209,0.5,5,50,0.5,0,0,10,11
"409","bt","bglm",209,0.01,10,50,0.5,0,0,9,16
"410","bt","bglm",209,0.0625,10,50,0.5,0,0,3,4
"411","bt","bglm",209,0.125,10,50,0.5,0,0,12,14
"412","bt","bglm",209,0.25,10,50,0.5,0,0,15,20
"413","bt","bglm",209,0.375,10,50,0.5,0,0,14,18
"414","bt","bglm",209,0.5,10,50,0.5,0,0,15,17
"415","bt","bglm",209,0.01,3,100,0.5,0,0,9,10
"416","bt","bglm",209,0.0625,3,100,0.5,0,0,13,16
"417","bt","bglm",209,0.125,3,100,0.5,0,0,7,7
"418","bt","bglm",209,0.25,3,100,0.5,0,0,7,9
"419","bt","bglm",209,0.375,3,100,0.5,0,0,6,8
"420","bt","bglm",209,0.5,3,100,0.5,0,0,12,15
"421","bt","bglm",209,0.01,5,100,0.5,0,0,9,13
"422","bt","bglm",209,0.0625,5,100,0.5,0,0,11,12
"423","bt","bglm",209,0.125,5,100,0.5,0,0,15,17
"424","bt","bglm",209,0.25,5,100,0.5,0,0,9,10
"425","bt","bglm",209,0.375,5,100,0.5,0,0,7,7
"426","bt","bglm",209,0.5,5,100,0.5,0,0,12,15
"427","bt","bglm",209,0.01,10,100,0.5,0,0,18,33
